Search Results: Wisconsin / 2016 
FIPS code,State,Jurisdiction,Division,Precincts,Total Registration,Make,Model,Equipment Type,VVPAT,Accessible Use,Early Voting,Absentee Ballots,Polling Place
5500576600,Wisconsin,Barron Town,Stanley,1,1465,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500578450,Wisconsin,Barron Town,Sumner,1,465,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500578450,Wisconsin,Barron Town,Sumner,1,465,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500581075,Wisconsin,Barron Village,Turtle Lake,1,449,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500581100,Wisconsin,Barron Town,Turtle Lake,1,356,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500581100,Wisconsin,Barron Town,Turtle Lake,1,356,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500581075,Wisconsin,Barron Village,Turtle Lake,1,449,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500582375,Wisconsin,Barron Town,Vance Creek,1,368,Sequoia (Dominion),AVC Edge,DRE-Touchscreen,Yes,Yes,Yes,No,Yes
5500582375,Wisconsin,Barron Town,Vance Creek,1,368,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500704725,Wisconsin,Bayfield Town,Barksdale,1,526,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500704725,Wisconsin,Bayfield Town,Barksdale,1,526,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500704750,Wisconsin,Bayfield Town,Barnes,1,613,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500704750,Wisconsin,Bayfield Town,Barnes,1,613,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500705350,Wisconsin,Bayfield City,Bayfield,1,398,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500705375,Wisconsin,Bayfield Town,Bayfield,1,592,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500705375,Wisconsin,Bayfield Town,Bayfield,1,592,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500705350,Wisconsin,Bayfield City,Bayfield,1,398,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500705475,Wisconsin,Bayfield Town,Bayview,1,391,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500705475,Wisconsin,Bayfield Town,Bayview,1,391,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500706200,Wisconsin,Bayfield Town,Bell,1,244,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500706200,Wisconsin,Bayfield Town,Bell,1,244,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500711675,Wisconsin,Bayfield Town,Cable,1,590,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500711675,Wisconsin,Bayfield Town,Cable,1,590,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500715750,Wisconsin,Bayfield Town,Clover,1,192,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500715750,Wisconsin,Bayfield Town,Clover,1,192,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500719662,Wisconsin,Bayfield Town,Delta,1,218,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500719662,Wisconsin,Bayfield Town,Delta,1,218,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500720887,Wisconsin,Bayfield Town,Drummond,1,373,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500720887,Wisconsin,Bayfield Town,Drummond,1,373,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500722925,Wisconsin,Bayfield Town,Eileen,1,453,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500722925,Wisconsin,Bayfield Town,Eileen,1,453,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500730175,Wisconsin,Bayfield Town,Grand View,1,325,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500730175,Wisconsin,Bayfield Town,Grand View,1,325,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500736300,Wisconsin,Bayfield Town,Hughes,1,321,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500736300,Wisconsin,Bayfield Town,Hughes,1,321,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500737200,Wisconsin,Bayfield Town,Iron River,1,814,Election Systems & Software,Model 100,Optical Scan,N/A,No,Yes,Yes,Yes
5500737200,Wisconsin,Bayfield Town,Iron River,1,814,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500739025,Wisconsin,Bayfield Town,Kelly,1,269,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500739025,Wisconsin,Bayfield Town,Kelly,1,269,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500739425,Wisconsin,Bayfield Town,Keystone,1,220,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500739425,Wisconsin,Bayfield Town,Keystone,1,220,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500744275,Wisconsin,Bayfield Town,Lincoln,1,204,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500744275,Wisconsin,Bayfield Town,Lincoln,1,204,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500749925,Wisconsin,Bayfield Town,Mason,1,184,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500749900,Wisconsin,Bayfield Village,Mason,1,57,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500749900,Wisconsin,Bayfield Village,Mason,1,57,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500749925,Wisconsin,Bayfield Town,Mason,1,184,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500755375,Wisconsin,Bayfield Town,Namakagon,1,230,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
5500755375,Wisconsin,Bayfield Town,Namakagon,1,230,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500760275,Wisconsin,Bayfield Town,Orienta,1,95,Not Applicable,Not Applicable,Hand Counted Paper Ballots,N/A,No,Yes,Yes,Yes
5500760275,Wisconsin,Bayfield Town,Orienta,1,95,Election Systems & Software,AutoMARK,Ballot Marking Device or System,N/A,Yes,Yes,No,Yes
